年/月,排名,供應商名稱,累積服務時間(分),"去年度
累積服務時間(分)",年度服務成長YOY,說明,,"旅遊商品
https://lookerstudio.google.com/u/0/reporting/5589fbb7-1b6d-4acb-86a8-822358e09167/page/p_zcolv0g4hd",
2026/01,TOP1,豐趣內部,"16,301","11,730",-38.97%,行政作業(訂單退款、領用、小倉盤點)、取卡點補貨、跨部門溝通..,,"客服處理時間
https://lookerstudio.google.com/u/0/reporting/106b577a-eb1e-4fb2-ad09-4e50f1e3e81b/page/p_wyyn3me41d",
2026/01,TOP2,奇美博物館,"2,545",226,-1026.11%,,,,
2026/01,TOP3,Hong kong FunPASS,"1,224",111,-1002.70%,,,,
2026/01,TOP4,林業鐵路,"1,108",-,NEW,,,,
2026/01,TOP5,Xpark,855,"1,091",21.63%,,,,
2026/01,TOP6,TaiwanPASS高鐵,688,204,-237.25%,,,,
2026/01,TOP8,TaiwanPASS台鐵,538,771,30.22%,,,,
2026/01,TOP9,其他票務場域/系統租賃,415,108,-284.26%,,,,
2026/01,TOP10,Okinawa FunPASS,391,120,-225.83%,,,,
2026/02,TOP1,豐趣內部,"30,323","22,502",-34.76%,,,,
2026/02,TOP2,奇美博物館,"6,417",419,-1431.50%,,,,
2026/02,TOP3,Xpark,"2,295","2,048",-12.06%,,,,
2026/02,TOP4,Hong kong FunPASS,"1,915",187,-924.06%,,,,
2026/02,TOP5,林業鐵路,"1,373",-,NEW,,,,
2026/02,TOP6,TaiwanPASS台鐵,"1,202","1,658",27.50%,,,,
2026/02,TOP7,TaiwanPASS高鐵,"1,145",258,-343.80%,,,,
2026/02,TOP8,Okinawa FunPASS,827,295,-180.34%,,,,
2026/02,TOP9,員林客運,802,-,NEW,,,,
2026/02,TOP10,雄獅旅遊(郵輪式巴士),785,444,-76.80%,,,,
2026/03,TOP1,豐趣內部,"44,307","36,136",-22.61%,,,,
2026/03,TOP2,奇美博物館,"8,588",658,-1205.17%,,,,
2026/03,TOP3,Xpark,"2,975","2,877",-3.41%,,,,
2026/03,TOP4,Hong kong FunPASS,"2,824",205,-1277.56%,,,,
2026/03,TOP5,TaiwanPASS台鐵,"2,172","1,658",-31.00%,,,,
2026/03,TOP6,TaiwanPASS高鐵,"2,164",322,-572.05%,,,,
2026/03,TOP7,林業鐵路,"1,839",-,NEW,,,,
2026/03,TOP8,員林客運,"1,554",-,NEW,,,,
2026/03,TOP9,雄獅旅遊(郵輪式巴士),"1,345",444,-202.93%,,,,
2026/03,TOP10,Okinawa FunPASS,"1,222",605,-101.98%,,,,
2026/04,TOP1,豐趣內部,"56,756","49,164",-15.44%,行政作業(訂單退款、領用、小倉盤點)、取卡點補貨、跨部門溝通..,,,
2026/04,TOP2,奇美博物館,"10,664",856,-1145.79%,"1退款申請最多訴求為訂單退款，包含部分退、全額退，如小孩未滿7歲、無法付款等情況
2反核銷處理多筆訴求為已核銷票券需要反核銷（素材拍攝使用票、測試票）
3統編申請 / 票務問題申請統一編號、常設展定時導覽超過人數限制等票務相關問題",,,
2026/04,TOP3,Xpark,"3,928","3,970",1.06%,"1反核銷申請測試核銷流程後需協助反核銷
2特殊票種問題幼兒園團體票及未滿6歲票種疑問
3退款申請訂單申請退款",,,
2026/04,TOP4,Hong kong FunPASS,"3,422",320,-969.38%,"1取消/退款申請客人申請取消訂單
2訂錯日期處理旅客訂錯日期，需協助處理多人訂單（含無憑證情況）
3景點預約失敗叮叮車無法完成預約，行程受阻",,,
2026/04,TOP5,TaiwanPASS高鐵,"3,374",650,-419.08%,"1訂單查詢/確認跨平台訂單（T4、Klook）查詢確認
2使用規則諮詢詢問高鐵票是否可非連續日分段使用
3優惠票種說明對高鐵+捷運+接駁套票的內容詢問",,,
2026/04,TOP6,TaiwanPASS台鐵,"3,158","2,979",-6.01%,"1QR Code無法顯示票券無法正常顯示QR Code，影響使用
2退款申請（台鐵誤點）因台鐵延誤60分鐘申請退款
3裝置綁定/解除問題Taiwan Pass用完後需解除裝置綁定",,,
2026/04,TOP7,林業鐵路,"2,358",-,NEW,"1購票規則諮詢詢問購票時間、最多購買數量限制
2使用方式疑問詢問能否在奮起湖上車、能否提前一天核銷
3退款申請訂單退款（部分金額退還）",,,
2026/04,TOP8,嘉義公車處,"2,196",377,-482.49%,"1票券開放時間諮詢詢問台灣好行阿里山線預約票何時再開放，及其他購票管道
2多元車票問題諮詢阿里山縣各種車票相關問題（電話來客）
3退款操作諮詢外籍旅客詢問如何從網站申請退款",,,
2026/04,TOP9,員林客運,"2,164",-,NEW,"1預約指定路線預約東浦-阿里山路線班次
2客服信件往來透過信箱聯繫客服（內容待確認）
3訂單查詢提供訂單編號查詢相關事宜",,,
2026/04,TOP10,雄獅旅遊(郵輪式巴士),"1,707",705,-142.13%,"1逃票旅客處理旅客逃票事件回報與處理
2訂單查詢以訂單編號查詢相關問題",,,
2026/05,TOP1,豐趣內部,"70,776","72,510",2.39%,"1信託／非信託退款作業：最高頻訴求，每日固定大量退款簽核與處理作業，貫穿全期
2取卡點補卡 / 領用作業：旅客遺失卡片或新卡出貨補發，涵蓋北車、各取卡點的補卡與領用流程
3跨部門協作事項：包含移客服紀錄表、協助同仁查詢後台、代上架公告、帳務核對等內部行政協作",,,"① 林業鐵路與員林客運上線，客服服務版圖擴張
② 奇美博物館、嘉義公車處代客服業務大幅承接，直接反映銷售規模擴大
奇美博物館客服時間從 20 小時成長至 211 小時（+955%），主因是大英博物館代客服服務；嘉義公車處從 8 小時成長至 57.8 小時（+621%），且呈逐月上升趨勢（4 月 18.6 h、5 月 20.4 h），主因是供應商結束與全家famiport轉至豐趣銷售平台的因素。
③ Hong kong FunPASS 、TaiwanPASS高鐵、雄獅旅遊（郵輪式巴士）需求升溫，部門預先布建服務能量。在海外及交通產品需求持續升溫的同時，部門不僅即時擴大服務量能，更主動投入教育訓練，確保服務品質能跟上業務成長的節奏。
④ 豐趣內部行政工時精簡，人力重心轉向跨部門服務協作
豐趣內部服務時間下降 11%（1,357 h → 1,208 h），主要來自兩項行政工作的自然收斂：取卡點補卡從 206 小時大幅降至 79 小時，顯示實體卡片操作流程趨於成熟、遺失率降低；內部教育訓練從 134.9 小時歸零，代表 2025 年密集培訓成果已完整落地。值得關注的是，同期跨部門諮詢協作微幅成長（123.6 h → 144.1 h），顯示人力正從低附加值的行政作業，轉移至更具策略意義的跨部門協作，部門整體產出結構持續優化。
⑤ Xpark 與 TaiwanPASS 台鐵服務效能提升，相同工時創造更高服務品質
Xpark 服務時間微降 9%，主因是代客服退款減少（-21%）與電話接聽大幅下降（13.6 h → 2.9 h），顯示旅客問題前端解決能力提升、取消率趨於穩定。
TaiwanPASS 台鐵總時間近乎持平，但跨部門協作需求從 13.9 小時降至 1.3 小時（-91%），代表內部問題處理效率顯著改善。兩個產品在服務規模不萎縮的前提下，以更少的內耗完成相同甚至更高品質的服務，是部門作業成熟度提升的最佳佐證。"
2026/05,TOP2,奇美博物館,"12,703","1,201",-957.70%,"1代客服退款（ticket代客服退款）：量最大，旅客透過通路（KKday/Klook）購票後申退，需代為處理
2訂單查詢 / 重寄訂單資訊：旅客未收到QR Code或訂單確認信，請求重寄或確認訂單狀態
3票種規則與購票諮詢：包含優惠票資格確認、特展與常設展差異說明、是否可現場購票、部分退款問題等",,,
2026/05,TOP3,Xpark,"4,782","5,243",8.79%,"1代客服退款 / 部分退款：兒童未滿4歲退票、票種改換（學生改成人）、訂單取消等退改需求最多
2票種錯誤 / 換票問題：旅客訂錯票種（學生票改成人票、博愛票規則不清），現場需協助調整
3高鐵聯票使用方式諮詢：高鐵+Xpark聯票的入場預約方式不清楚，旅客不知如何選擇入場時段",,,
2026/05,TOP4,TaiwanPASS高鐵,"4,051","1,097",-269.28%,"1高鐵預約操作問題：App無法顯示QR Code、無法完成預約、抵達時間與高鐵網站不符、回程站點無法選擇等操作障礙
2購票方式與使用範圍諮詢：外籍旅客詢問台灣以外是否可購買、有無服務台現場協助、套票含哪些景點等
3退款申請（含通路退款）：T4/Klook通路訂單申退處理、部分使用後能否退款等退款規則確認",,,
2026/05,TOP5,TaiwanPASS台鐵,"3,715","3,766",1.35%,"1票券使用規則不清楚：以為可單買台鐵票、不清楚使用期限（誤以為兌換後可延長7天）、過年/清明連假是否可用、宜蘭好行是否含在內等
2優惠票種諮詢：詢問是否有敬老票、半票、博愛票、買一送一活動是否重開等優惠條件問題
3退款及改期申請：已兌換但想改日期、訂錯票種、部分使用後申退、通路訂單退款流程確認",,,
2026/05,TOP6,Hong kong FunPASS,"3,549",512,-593.16%,"1景點預約問題：特定景點無法預約（額滿或尚未開放）、兒童票預約失敗、不清楚預約開放時間
2退款與取消申請：因現場服務不符預期（如未提供快速通關）、訂錯日期或景點、申請全額或部分退款
3訂單異常 / 序號重新綁定：開通序號失效需重新綁定、訂單顯示異常、現場服務與說明不符需客訴處理",,,
2026/05,TOP7,嘉義公車處,"3,466",481,-620.58%,"1QR Code車機無法掃描：司機車機讀取失敗、旅客現場被要求付現金、多人反映相同問題，為最高頻異常
2搭乘規則諮詢：回程是否可中途上車、是否保留座位、預約票與非預約票差異、劃位與行李放置問題
3退款與誤購處理：買錯日期申退、誤購路線後的退款流程、通路訂單取消確認",,,
2026/05,TOP8,林業鐵路,"2,787",-,NEW,"1電子票券核銷與使用方式：不清楚如何出示QR Code、核銷方式、是否可換位等操作疑問最多
2票種與路線諮詢：是否有半票/敬老票/兒童票、回程停靠奮起湖時間、是否含行程/住宿/午餐、中途上車規則
3退款與改期申請：超過退款期限後仍要求退票、已購票想改日期、外籍旅客退款操作不熟悉",,,
2026/05,TOP9,員林客運,"2,450",-,NEW,"1車機無法驗票 / QR Code掃描失敗：多筆訂單司機表示車機無法掃描，旅客現場遭拒，同批訂單持續反映
2路線與搭乘方式諮詢：可否從中途站上車、如何預約特定班次、是否可轉乘其他路線、座位安排問題
3退款處理：部分退款操作（退2張中的1張）、訂單核銷後申退確認、通路訂單取消流程",,,
2026/05,TOP10,雄獅旅遊(郵輪式巴士),"2,025",982,-106.21%,"1購票方式與行程諮詢：如何購票、上車地點選擇（嘉義高鐵站 vs 嘉義火車站）、嬰兒是否需購票、可否刷國旅卡
2上下車地點彈性調整：旅客詢問能否改上車地點、在奮起湖中途下車、延後上車時間（高鐵誤點）
3退款與訂單確認：旅客未收到確認信、訂單資料重複或異常、申請退款及乘客資料更改",,,
2026/06,TOP1,奇美博物館,"14,151","1,892",-647.94%,"1.退票/退款申請
2.修改訂單日期/時間/人數
3.訂單查詢/操作問題",,,
2026/06,TOP2,Xpark,"5,433","7,228",24.83%,"1.退款/取消申請
2.票種變更/現場改票
3.票種資格詢問",,,
2026/06,TOP3,嘉義公車處,"4,911",621,-690.82%,"1.退票/退款申請
2.無法購票/購票流程問題
3.班次/劃位/轉乘/使用方式詢問",,,
2026/06,TOP4,TaiwanPASS台鐵,"4,412","4,627",4.65%,"1.使用方式/兌換/效期規則詢問
2.綁定/序號/兌換操作問題
3.退款/退票申請",,,
2026/06,TOP5,TaiwanPASS高鐵,"4,379","1,308",-234.79%,"1.使用方式/兌換/效期/預約規則詢問
2.退款/退票申請
3.綁定/資料修正(護照/國籍/序號)",,,
2026/06,TOP6,Hong kong FunPASS,"3,892","1,000",-289.20%,"1.供應商行程異動/停駛取消退款
2.景點/行程預約問題
3.綁定裝置/憑證操作問題",,,
2026/06,TOP7,林業鐵路,"3,648",369,-888.62%,"1.停駛/事故/天候退款申請
2.購票規則/預約/使用方式詢問
3.座位安排問題",,,
2026/06,TOP8,員林客運,"2,842",-,NEW,"1.停駛/天候取消退款申請
2.改期/取消/退款操作問題
3.班次時刻/上下車地點/票種詢問",,,
2026/06,TOP9,森林萌物/物流商品,"2,771","1,279",-116.65%,"1.出貨/物流進度查詢
2.修改收件資訊
3.商品缺件/損壞/寄錯",,,
2026/06,TOP10,雄獅旅遊(郵輪式巴士),"2,470","1,308",-88.84%,"1.上下車地點/時間變更詢問
2.天候/停駛退款詢問
3.旅客資料修正",,,
2026/07,TOP1,奇美博物館,"15,599","2,959",-427.17%,"退票/退款(休館/颱風/部分退) — 約701筆（最大宗）
修改日期/時間/人數/訂單資訊 — 約99筆
訂單查詢/操作問題 — 約70筆",,,
2026/07,TOP2,Xpark,"6,244","9,199",32.12%,"退款/取消申請 — 約235筆
票種變更/現場改票 — 約118筆
票種資格詢問 — 約92筆",,,
2026/07,TOP3,嘉義公車處,"6,100",735,-729.93%,"退票/退款 — 約208筆
班次/劃位/轉乘/使用方式詢問 — 約129筆
無法購票/購票流程問題 — 約118筆",,,
2026/07,TOP4,TaiwanPASS台鐵,"5,269","6,232",15.45%,"使用方式/兌換/效期規則詢問 — 約137筆
綁定/序號/兌換操作問題 — 約61筆
退款/退票申請 — 約47筆",,,
2026/07,TOP5,TaiwanPASS高鐵,"4,922","1,588",-209.95%,"退款/退票申請 — 約83筆
使用方式/兌換/效期/預約規則詢問 — 約62筆
綁定/資料修正(護照/國籍/序號) — 約21筆",,,
2026/07,TOP6,Hong kong FunPASS,"4,070","1,169",-248.16%,"供應商行程異動/停駛取消退款 — 約129筆
景點/行程預約問題 — 約116筆
綁定裝置/憑證操作問題 — 約44筆",,,
2026/07,TOP7,林業鐵路,"4,032",809,-398.39%,"停駛/事故/天候退款申請 — 約115筆
購票規則/預約/使用方式詢問 — 約70筆
座位安排問題 — 約61筆",,,
2026/07,TOP8,森林萌物/物流商品,"3,523","1,759",-100.28%,"出貨/物流進度查詢 — 約156筆
修改收件資訊 — 約65筆
商品缺件/損壞/寄錯 — 約21筆",,,
2026/07,TOP9,員林客運,"3,046",-,NEW,"班次時刻/上下車地點/票種詢問 — 約49筆
改期/取消/退款操作問題 — 約32筆
停駛/天候取消退款申請 — 約29筆",,,
2026/07,TOP10,雄獅旅遊(郵輪式巴士),"2,709","1,865",-45.25%,"上下車地點/時間變更詢問 — 約61筆
天候/停駛退款詢問 — 約42筆
旅客資料修正 — 約19筆",,,
